CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX1;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lacoruna;SI;NO;NO;Medio;NO DATA;No;NO;2892;0;1;20
CLIX2;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;Averia leve;NO;2892;17967;1;55
CLIX3;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1376;0;1;18
CLIX4;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Alto;SI;No;NO;2594;6219;1;37
CLIX5;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1376;0;1;21
CLIX6;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Zaragoza;SI;NO;NO;Alto;SI;Averia muy grave;SI;2594;2281;2;23
CLIX7;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;4720;15105;1;49
CLIX8;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;NA;NO DATA;Averia muy grave;SI;2594;0;2;26
CLIX9;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;NO;2169;0;2;27
CLIX10;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;SI;2594;0;1;30
CLIX11;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Guadalajara;SI;NO;NO;Medio;SI;Averia muy grave;SI;5677;22231;1;26
CLIX12;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Alto;SI;No;NO;3233;7998;2;29
CLIX13;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Alicante;SI;NO;NO;Medio;NO DATA;Averia grave;NO;2594;0;1;23
CLIX14;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia grave;NO;5677;4186;2;58
CLIX15;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Funcionario;Leon;NO;NO;NO;Alto;SI;No;NO;2594;6207;2;60
CLIX16;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;4720;6124;2;37
CLIX17;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;No;NO;3850;6580;1;18
CLIX18;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Malaga;NO;NO;NO;Medio;SI;Averia grave;SI;1376;9646;1;50
CLIX19;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;3850;0;2;18
CLIX20;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;Averia grave;NO;3213;0;1;20
CLIX21;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Alto;SI;Averia leve;NO;2015;10132;2;42
CLIX22;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1376;0;0;26
CLIX23;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;NO;2169;0;1;25
CLIX24;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;3850;0;2;21
CLIX25;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;2228;0;0;28
