CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Comunidad
CLIX1,0,0,0,0.0,1,3,0,1,1,1,0,0,2.0,0,0.0,0,2892,0,1,20,18
CLIX2,0,0,0,0.0,1,3,3,1,1,1,0,0,3.0,1,1.0,0,2892,17967,1,55,11
CLIX3,0,0,0,0.0,1,0,3,0,1,0,0,0,1.0,0,2.0,0,1376,0,1,18,6
CLIX4,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,0.0,0,2594,6219,1,37,9
CLIX5,0,0,0,0.0,1,3,0,0,1,1,0,0,1.0,0,3.0,1,1376,0,1,21,7
CLIX6,0,0,0,0.0,1,3,0,0,1,1,0,0,3.0,1,3.0,1,2594,2281,2,23,1
CLIX7,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,1,1.0,0,4720,15105,1,49,14
CLIX8,0,0,0,0.0,1,3,0,0,1,0,0,0,3.0,0,3.0,1,2594,0,2,26,7
CLIX9,0,0,0,0.0,1,2,3,0,1,0,0,1,3.0,0,0.0,0,2169,0,2,27,14
CLIX10,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,0.0,1,2594,0,1,30,14
CLIX11,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,3.0,1,5677,22231,1,26,6
CLIX12,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,0.0,0,3233,7998,2,29,17
CLIX13,0,0,0,0.0,1,0,0,0,1,1,0,0,2.0,0,2.0,0,2594,0,1,23,9
CLIX14,0,0,0,0.0,1,2,3,0,1,1,0,0,2.0,1,2.0,0,5677,4186,2,58,14
CLIX15,0,0,0,0.0,1,0,0,0,2,0,0,0,3.0,1,0.0,0,2594,6207,2,60,18
CLIX16,0,0,0,0.0,1,3,0,0,1,1,0,0,1.0,1,2.0,0,4720,6124,2,37,7
CLIX17,0,0,0,0.0,1,2,0,0,1,1,0,0,1.0,1,0.0,0,3850,6580,1,18,7
CLIX18,0,0,0,0.0,1,3,0,0,1,0,0,0,2.0,1,2.0,1,1376,9646,1,50,18
CLIX19,0,0,0,0.0,1,2,0,0,1,1,0,0,1.0,0,0.0,0,3850,0,2,18,7
CLIX20,0,0,0,0.0,1,3,0,1,1,1,0,0,2.0,0,2.0,0,3213,0,1,20,12
CLIX21,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,1.0,0,2015,10132,2,42,9
CLIX22,0,0,0,0.0,1,0,3,0,1,0,0,0,1.0,0,2.0,0,1376,0,0,26,18
CLIX23,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,2169,0,1,25,14
CLIX24,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,0,3.0,1,3850,0,2,21,12
CLIX25,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,2228,0,0,28,7
CLIX26,0,0,0,0.0,1,2,3,0,1,1,0,0,1.0,0,3.0,1,2015,0,1,23,12
CLIX27,0,0,0,0.0,1,1,0,0,1,0,0,0,3.0,0,1.0,0,1590,0,1,31,7
CLIX28,0,0,0,0.0,1,2,3,0,1,0,0,1,3.0,0,1.0,0,2169,0,0,26,7
CLIX29,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,1560,0,1,19,7
CLIX30,0,0,0,0.0,1,0,0,1,2,1,0,0,2.0,0,0.0,0,2892,0,2,28,14
CLIX31,0,0,0,0.0,1,3,3,1,1,1,0,0,1.0,0,3.0,1,2208,0,2,32,6
CLIX32,0,0,0,0.0,1,3,0,1,1,0,0,0,2.0,0,0.0,0,1376,0,2,29,14
CLIX33,0,0,0,0.0,1,2,0,0,1,0,0,1,3.0,0,0.0,0,2169,0,1,22,0
CLIX34,0,0,0,0.0,1,2,3,1,1,0,0,1,3.0,0,3.0,1,2169,0,0,23,18
CLIX35,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,2169,0,1,28,14
CLIX36,0,0,0,0.0,1,3,3,0,1,0,0,0,3.0,0,2.0,0,1818,0,2,29,3
CLIX37,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,1,3.0,1,1376,6048,2,37,2
CLIX38,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,0.0,0,1590,0,1,28,5
CLIX39,0,0,0,0.0,1,3,0,0,0,0,0,0,3.0,0,1.0,0,1590,0,1,20,11
CLIX40,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,2228,0,0,23,1
CLIX41,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,0,0.0,0,2228,0,2,32,17
CLIX42,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,1,3.0,1,1376,22275,1,52,9
CLIX43,0,0,0,0.0,1,3,0,0,1,0,0,0,3.0,1,3.0,1,1376,10867,2,55,7
CLIX44,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,3.0,1,2015,0,2,20,6
CLIX45,0,0,0,0.0,1,0,0,1,0,0,0,0,3.0,0,3.0,1,1590,0,2,19,9
CLIX46,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,1,3.0,1,1376,28763,2,57,9
CLIX47,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,0,3.0,1,1590,0,0,20,14
CLIX48,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,1.0,0,1376,9466,2,39,14
CLIX49,0,0,0,0.0,1,3,0,1,1,1,0,0,3.0,1,2.0,0,1376,21182,2,58,7
CLIX50,0,0,0,0.0,1,3,0,1,1,0,0,0,3.0,1,2.0,0,2064,34332,1,43,18
CLIX51,0,0,0,0.0,1,0,3,1,1,0,0,0,1.0,0,0.0,0,1590,0,2,31,7
CLIX52,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,0.0,0,4513,0,2,22,3
CLIX53,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,0,3.0,1,1590,0,1,30,0
CLIX54,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,2015,0,2,28,7
CLIX55,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,3097,0,1,19,9
CLIX56,0,0,0,0.0,1,2,3,0,1,1,0,1,3.0,0,0.0,0,1590,0,1,20,7
CLIX57,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,0,0.0,0,1376,0,2,30,12
CLIX58,0,0,0,0.0,1,2,3,1,1,1,0,0,1.0,0,0.0,0,2228,0,1,19,9
CLIX59,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,2169,0,1,20,14
CLIX60,0,0,0,0.0,1,2,0,0,1,0,0,1,3.0,0,1.0,0,2169,0,1,31,7
CLIX61,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,0.0,0,2594,0,2,24,1
CLIX62,0,0,0,0.0,1,2,0,1,1,0,0,1,1.0,0,0.0,0,2611,0,2,27,3
CLIX63,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,1590,0,1,29,7
CLIX64,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,0,0.0,0,2015,0,1,27,7
CLIX65,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,2169,0,1,19,11
CLIX66,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,1,0.0,0,1376,17618,1,37,7
CLIX67,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,0,3.0,1,3213,0,1,32,7
CLIX68,0,0,0,0.0,1,2,0,1,1,0,0,1,1.0,0,0.0,0,2169,0,1,21,11
CLIX69,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,0,0.0,0,3213,0,1,32,10
CLIX70,0,0,0,0.0,1,2,3,1,1,0,0,1,3.0,0,0.0,0,2169,0,0,26,18
CLIX71,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,0,0.0,0,1590,0,1,23,18
CLIX72,0,0,0,0.0,1,2,2,1,2,1,0,0,1.0,1,0.0,0,3850,12563,1,61,18
CLIX73,0,0,0,0.0,1,3,0,1,1,1,0,0,1.0,1,0.0,0,2892,14386,1,38,7
CLIX74,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,0.0,0,2670,0,0,22,3
CLIX75,0,0,0,0.0,1,1,0,1,1,1,0,0,2.0,0,0.0,0,4720,0,2,32,14
CLIX76,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,2015,0,2,18,14
CLIX77,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,1376,0,1,26,18
CLIX78,0,0,0,0.0,1,3,2,0,1,0,0,0,2.0,0,0.0,0,2594,0,1,25,9
CLIX79,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,1590,0,1,21,14
CLIX80,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,1376,0,1,25,7
CLIX81,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,2594,0,1,28,4
CLIX82,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,1590,0,1,26,14
CLIX83,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,0.0,0,1590,0,1,23,14
CLIX84,0,0,0,0.0,1,3,2,0,1,0,0,0,3.0,0,0.0,0,1376,0,1,22,7
CLIX85,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,0,0.0,0,2015,0,2,30,17
CLIX86,0,0,0,0.0,1,3,0,1,1,0,0,0,2.0,0,0.0,0,1376,0,1,21,14
CLIX87,0,0,0,0.0,1,3,0,1,1,0,0,0,3.0,0,0.0,0,1376,0,1,21,7
CLIX88,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,0,0.0,0,2015,0,1,20,0
CLIX89,0,0,0,0.0,1,0,2,0,1,1,0,0,3.0,0,0.0,0,4720,0,1,30,7
CLIX90,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,0,0.0,0,3213,0,2,20,14
CLIX91,0,0,0,0.0,1,2,3,0,1,0,0,1,3.0,0,0.0,0,2169,0,0,21,5
CLIX92,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,0.0,0,2456,0,1,32,3
CLIX93,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,0,0.0,0,2169,0,1,24,7
CLIX94,0,0,0,0.0,1,3,0,0,1,0,0,0,3.0,0,0.0,0,1590,0,1,26,18
CLIX95,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,1903,0,1,26,9
CLIX96,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,0,1.0,0,4720,0,1,19,7
CLIX97,0,0,0,0.0,1,2,3,1,1,1,0,0,3.0,1,0.0,0,2228,28396,1,44,14
CLIX98,0,0,0,0.0,1,2,2,0,1,0,0,1,1.0,0,0.0,0,2611,0,1,31,3
CLIX99,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,0.0,0,2670,0,1,25,3
CLIX100,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,2594,0,0,30,11
CLIX101,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,0,0.0,0,1590,0,1,25,7
CLIX102,0,0,0,0.0,1,3,0,1,1,0,0,0,1.0,0,0.0,0,1590,0,1,18,17
