CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI1,0,0,0,0.0,1,0,0,1,1,1,0,0,1.0,0,3.0,1,208,2892,0,0,2,18,0,2
CLI2,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,1,0.0,0,245,1376,7187,0,2,53,0,6
CLI3,0,0,0,0.0,1,3,0,1,1,0,0,0,2.0,0,0.0,0,251,1376,0,1,4,21,3,7
CLI4,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,3.0,1,243,2015,7256,1,4,48,5,15
CLI5,0,0,0,0.0,1,2,0,0,2,1,0,1,3.0,0,0.0,0,23,1818,0,1,3,21,3,3
CLI6,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,1.0,0,243,2015,11293,0,2,56,0,2
CLI7,0,0,0,0.0,1,2,0,1,1,1,0,0,2.0,0,0.0,1,248,2015,0,0,1,24,0,15
CLI8,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,1,0.0,0,244,1560,754,0,2,51,0,12
CLI9,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,1,0.0,0,243,1376,12177,1,1,44,5,2
CLI10,0,0,0,0.0,1,3,0,1,1,1,0,0,2.0,0,0.0,0,252,2892,0,1,1,20,4,19
CLI11,0,0,0,0.0,1,2,3,1,1,1,0,0,3.0,0,1.0,0,202,2015,0,1,1,32,4,15
CLI12,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,219,1376,0,0,1,21,0,15
CLI13,0,0,0,0.0,1,3,0,0,2,1,0,0,3.0,1,1.0,0,252,2892,7918,0,1,52,0,7
CLI14,0,0,0,0.0,1,3,3,1,1,1,0,0,3.0,1,1.0,0,236,2892,17967,1,1,55,8,12
CLI15,0,0,0,0.0,1,0,2,0,1,1,0,0,2.0,1,1.0,0,236,2892,14527,1,2,27,7,15
CLI16,0,0,0,0.0,1,0,3,0,1,0,0,0,1.0,0,2.0,0,21,1376,0,0,1,18,0,6
CLI17,0,0,0,0.0,1,2,0,1,2,1,0,1,3.0,0,1.0,0,184,4082,0,1,1,26,6,19
CLI18,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,251,2015,7123,0,2,51,0,18
CLI19,0,0,0,0.0,1,3,0,0,1,0,0,0,1.0,1,3.0,1,242,1376,11544,0,2,54,0,7
CLI20,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,236,2015,4535,1,1,38,4,5
CLI21,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,1,3.0,1,241,2892,10806,0,1,46,0,9
CLI22,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,0.0,0,252,2594,6219,1,1,37,5,9
CLI23,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,0,1.0,0,206,3036,0,0,1,31,0,3
CLI24,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,3.0,1,233,3233,5550,0,1,54,0,7
CLI25,0,0,0,0.0,1,3,0,0,1,0,0,0,1.0,1,0.0,0,232,2594,6684,0,2,45,0,14
CLI26,0,0,0,0.0,1,3,0,0,1,1,0,0,1.0,0,3.0,1,221,1376,0,0,1,21,0,7
CLI27,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,1,0.0,0,253,3271,14581,1,1,45,8,13
